,units_total,sqft_total,yearbuilt_avg,median_income_2019,median_rent_2019,median_value_2019,part_black_2019,part_latx_2019,part_white_2019,part_female_head_2019,part_hh_kids_2019,part_rented_2019,part_unemployed_2019,part_poverty_2019,part_vacant_2019,part_college_2019,median_income_2014,median_rent_2014,median_value_2014,part_black_2014,part_latx_2014,part_white_2014,part_female_head_2014,part_hh_kids_2014,part_rented_2014,part_unemployed_2014,part_poverty_2014,part_vacant_2014,part_college_2014,change_rent_14_19,change_value_14_19,change_part_rented_14_19,change_part_white_14_19,change_part_black_14_19,change_part_latx_14_19,change_part_college_14_19,change_part_unemployed_14_19,change_part_hh_kids_14_19,change_part_female_head_14_19,change_part_poverty_14_19,change_part_vacant_14_19,dist_to_nearest_highrenttract,dist_to_nearest_highchangetract,pctbuilt,pctsold
count,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0,1099.0
mean,3.858962693357598,3331.12101910828,1932.2493175614195,63007.76433121019,1516.2884440400364,782998.4332356737,9.28276050353331,44.00692558253717,31.513270508482666,19.252861450023207,26.715553200506537,75.25825810161399,6.50561147568976,28.113099648026182,8.962598699547458,21.1872632521943,50058.29026387625,1241.0791628753411,538076.8069611556,10.020644916174653,45.147833495188344,30.218085305593547,11.992068368847889,30.323506731673064,75.9955912053639,11.537013175334085,35.77402697469261,7.364414875169198,22.686518064931438,275.2092811646952,244921.6262745181,-0.7373331037498964,1.295185202889121,-0.73788441264134,-1.1409079126511772,-1.499254812737139,-5.031401699644326,-3.6079535311665247,7.2607930811753185,-7.660927326666431,1.5981838243782598,1271.7401350235248,582.6412646493961,1.6108442756603347,21.657477789341424
std,4.529516556376671,3654.4646164495866,17.061382992205328,27365.567699824223,417.47594366220414,342452.48172931414,11.500511660749089,27.118416969706427,27.13032638483493,5.288192979123317,13.653360967629736,17.396897728443918,3.2525179611810673,16.631382494184017,4.9429292791381165,9.234881057965133,23324.380569858287,312.6987675518445,226209.87324820057,13.171633948725088,27.17162142401977,27.76119646220304,3.358756511383879,14.565408952648578,17.010630939065095,4.354684595736141,19.193074903458044,4.057515778152857,9.289551565251344,173.01813992868674,180509.17139565066,5.401748420932692,5.495173236850005,4.2308342116259325,6.93835642870976,5.7384520071503,4.894260328912721,7.633671239228935,5.592998326103455,10.913215463013346,5.0872988981277745,1431.3085977558023,697.1942277817883,2.1897665111909825,5.782966697225529
