,application_received,application_year,council_district,address,city,zip,units_withdrawn,replacement_unit,yearbuilt,units,sqftmain,center_lat,center_lon,geometry
5177029015,6/25/19,2019,14,2507 E CINCINNATI ST,LOS ANGELES ,90033.0,2,0.0,1922.0,2.0,2209.0,34.04694268,-118.20477905,POINT (-13158495.81317741 4035107.02417049)
5177034015,7/2/18,2018,14,306 N SOTO ST,LOS ANGELES ,90033.0,2,0.0,1923.0,4.0,4018.0,34.04695813,-118.20726873,POINT (-13158772.96308725 4035109.099875991)
5180002002,2/8/19,2019,14,2424 E MICHIGAN AVE,LOS ANGELES ,90033.0,2,0.0,1924.0,2.0,1512.0,34.04460828,-118.20807794,POINT (-13158863.04393239 4034793.402178053)
5180003006,3/15/17,2017,14,130 S SOTO ST,LOS ANGELES ,90033.0,2,0.0,1906.0,2.0,2117.0,34.04272479,-118.20996197,POINT (-13159072.77319263 4034540.365339305)
5180003028,2/19/20,2020,14,2416 E 1ST ST,LOS ANGELES ,90033.0,2,0.0,1918.0,1.0,3190.0,34.04315528,-118.20926301,POINT (-13158994.96532135 4034598.198879993)
5180006030,6/5/19,2019,14,2522 E GLEASON AVE,LOS ANGELES ,90033.0,2,0.0,1907.0,2.0,1930.0,34.04175783,-118.2084955,POINT (-13158909.52649897 4034410.461602244)
5180008010,3/30/18,2018,14,318 N MATHEWS ST,LOS ANGELES ,90033.0,2,0.0,1905.0,2.0,3077.0,34.04508531,-118.20682986,POINT (-13158724.10830233 4034857.48950697)
5180008011,5/23/19,2019,14,325 N FICKETT ST,LOS ANGELES ,90033.0,3,0.0,1985.0,2.0,2750.0,34.04496139,-118.20619637,POINT (-13158653.5885181 4034840.841249344)
5180010031,11/13/20,2020,14,2622 E MICHIGAN AVE,LOS ANGELES ,90033.0,4,0.0,95.0,4.0,2080.0,34.04357509,-118.20561838,POINT (-13158589.24696562 4034654.597914656)
5180012032,1/13/17,2017,14,2613 E 4TH ST,LOS ANGELES ,90033.0,2,0.0,0.0,2.0,1731.0,34.03957309,-118.20871705,POINT (-13158934.18933216 4034116.963818125)
5183001017,5/23/19,2019,14,2025 E NEW JERSEY ST,LOS ANGELES ,90033.0,2,0.0,1904.0,2.0,1569.0,34.0480109,-118.21232372,POINT (-13159335.68200001 4035250.540280181)
5183005014,5/8/19,2019,14,125 N SOTO ST,LOS ANGELES ,90033.0,3,0.0,1905.0,4.0,3769.0,34.04459086,-118.20966041,POINT (-13159039.20368699 4034791.061868189)
5183013001,8/14/19,2019,14,311 S SOTO ST,LOS ANGELES ,90033.0,3,0.0,1903.0,3.0,4199.0,34.04134208,-118.21155602,POINT (-13159250.22202693 4034354.609200458)
5183013010,4/25/18,2018,14,2310 E 3RD ST,LOS ANGELES ,90033.0,2,0.0,1902.0,2.0,2116.0,34.04160552,-118.21214574,POINT (-13159315.86935704 4034390.000044751)
5183015026,7/22/19,2019,14,526 S BREED ST,LOS ANGELES ,90033.0,5,0.0,1924.0,5.0,3812.0,34.03886937,-118.21406959,POINT (-13159530.03135941 4034022.427743466)
5183016028,4/2/18,2018,14,514 S CHICAGO ST,LOS ANGELES ,90033.0,3,0.0,1922.0,3.0,2614.0,34.03964814,-118.21511361,POINT (-13159646.25113418 4034127.045903295)
5183019003,8/15/16,2016,14,516 S ST LOUIS ST,LOS ANGELES ,90033.0,2,0.0,1907.0,2.0,2648.0,34.04012862,-118.21632199,POINT (-13159780.76738047 4034191.592953873)
5185032018,7/9/15,2015,14,740 S MOTT ST,LOS ANGELES ,90023.0,2,0.0,1925.0,2.0,1440.0,34.03348608,-118.2118093,POINT (-13159278.41702756 4033299.275287857)
5185034014,3/22/16,2016,14,2730 E OREGON ST,LOS ANGELES ,90023.0,2,0.0,1911.0,2.0,2422.0,34.03287521,-118.21049273,POINT (-13159131.85712557 4033217.218305248)
5186008004,5/8/19,2019,14,507 S LORENA ST,LOS ANGELES ,90063.0,2,0.0,1905.0,2.0,2276.0,34.03229263,-118.19847707,POINT (-13157794.27997282 4033138.962013907)
5188006021,2/5/20,2020,14,3553 E PERCY ST,LOS ANGELES ,90023.0,3,0.0,1907.0,3.0,3318.0,34.02728318,-118.19597295,POINT (-13157515.52260954 4032466.079216235)
5188006026,8/14/18,2018,14,3529 E PERCY ST,LOS ANGELES ,90023.0,3,0.0,1924.0,3.0,2670.0,34.02761601,-118.19672479,POINT (-13157599.2170555 4032510.784605035)
5188006036,11/5/18,2018,14,3561 E PERCY ST,LOS ANGELES ,90023.0,3,0.0,1909.0,3.0,2224.0,34.02715417,-118.19568155,POINT (-13157483.08410992 4032448.750770741)
5188008007,7/3/17,2017,14,3632 E PERCY ST,LOS ANGELES ,90023.0,2,6.0,1913.0,2.0,1719.0,34.02590654,-118.19449832,POINT (-13157351.36754883 4032281.172186985)
5188008008,7/3/17,2017,14,3638 E PERCY ST,LOS ANGELES ,90023.0,2,0.0,1912.0,2.0,1733.0,34.02583962,-118.19434712,POINT (-13157334.53604182 4032272.183727293)
5188014005,10/23/19,2019,14,3554 E 7TH ST,LOS ANGELES ,90023.0,2,0.0,93.0,2.0,1845.0,34.02362794,-118.19833839,POINT (-13157778.84218584 4031975.122614748)
5188022018,5/23/18,2018,14,938 S BERNAL AVE,LOS ANGELES ,90023.0,2,0.0,1913.0,2.0,1082.0,34.02693636,-118.20243613,POINT (-13158235.00051604 4032419.494891351)
5189006006,9/25/19,2019,14,2471 E 7TH ST,LOS ANGELES ,90023.0,2,0.0,1905.0,2.0,1436.0,34.03274626,-118.21728367,POINT (-13159887.82110837 4033199.89677731)
5201014012,5/29/19,2019,14,1039 N CUMMINGS ST,LOS ANGELES ,90033.0,3,0.0,1920.0,3.0,2538.0,34.05597938,-118.2079561,POINT (-13158849.48076564 4036321.168238383)
5201014014,5/12/16,2016,14,1031 N CUMMINGS ST,LOS ANGELES ,90033.0,2,0.0,99.0,2.0,1269.0,34.05573614,-118.20810965,POINT (-13158866.57387345 4036288.485542268)
